date,temperature,dissolved_oxygen,pH,turbidity
2014-10-01,21.350596291597768,6.898147168577753,7.009447296401018,13.46867358784031
2014-10-02,21.315316158192424,6.99302211997335,7.04474116260959,10.618084563689594
2014-10-03,21.884984165647097,6.716186140102358,6.972111628281916,40.292611730158185
2014-10-04,20.344586167465415,6.90365643274854,6.928979532163743,25.303738461024196
2014-10-05,17.923965604015763,7.364901151798941,6.980444748731059,26.565599126145877
2014-10-06,17.950552244039272,7.529335846981265,7.01925810904072,28.17201358384809
2014-10-07,18.914272209622865,7.345587633964243,7.031517861609274,28.425536256538
2014-10-08,20.003921789224755,7.162171648951426,7.031792813432787,27.986241123797004
2014-10-09,21.0933591975007,6.8888595843762195,7.013097289236808,30.546341410463935
2014-10-10,21.421380436142883,6.762586920619449,7.0077994153639365,29.287537792216277
2014-10-11,21.92572751379882,6.644739435955478,7.0019367435799635,23.464458250810306
2014-10-12,22.047190787478623,6.465521433362264,6.956408802177855,18.394715425687966
2014-10-13,21.858190150292792,6.4764273656889735,6.979816194407041,15.006643609963753
2014-10-14,22.041645995776474,6.735102239309038,6.860929791936015,74.85940912609414
2014-10-15,20.73244195367901,7.098830946932964,6.896920450294169,38.56213172281324
2014-10-16,19.629247850240596,7.3678142508309765,6.9911921508947135,13.851626332218608
2014-10-17,18.82941192334406,7.50274405435523,7.027443632594037,10.3653458368704
2014-10-18,19.206273757309944,7.423844147005447,7.054814655172416,8.922303310035973
2014-10-19,18.332889254385968,7.588860356894808,7.086462216526872,9.95269997911445
2014-10-20,17.737903792134833,7.679393242283355,7.081635653558874,13.077935166308734
2014-10-21,17.88196637185914,7.6387954543365,7.070500502434489,15.528637648575689
2014-10-22,17.180161608742573,7.816774196219406,7.065442490086458,21.09661896073435
2014-10-23,16.276001344086023,8.068214879167718,7.078488669590647,20.90003341687552
2014-10-24,16.231288200339556,8.090583262591963,7.078537646198831,19.58225369229425
2014-10-25,16.069481659729444,8.132816293791189,7.088425179211472,18.989564468968126
2014-10-26,16.75636966615665,8.008367068298694,7.08490022507686,18.685690006476907
2014-10-27,17.45607322346891,7.801262582932966,7.07707832254086,24.573867710522006
2014-10-28,17.997474716850785,7.650619152046784,7.082170872256402,20.195438714091352
2014-10-29,17.821982669481187,7.556746444937852,7.070533263731619,17.66744092759432
2014-10-30,16.647176529126366,7.750475146198832,7.079694464977989,20.268788410773467
2014-10-31,15.544550084889645,8.021751827485382,7.099055190058482,15.605814576448815
2014-11-01,13.509738406791804,8.470908393187557,7.095533392434992,17.80202303677678
2014-11-02,12.202116175500711,8.880307906652735,7.1090675722744745,24.974861758136537
2014-11-03,11.867094573423653,9.097033488589153,7.129198619204471,30.658796149259476
2014-11-04,12.371980628654965,8.99593384502924,7.123491757410771,29.563485081780858
2014-11-05,13.184999736601286,8.767419668408609,7.102435068649887,28.70898282157471
2014-11-06,14.584320664607644,8.317886353237247,7.082977245862888,25.759957482630725
2014-11-07,13.664762308998304,8.442456494057726,7.100971491228072,34.846105217557124
2014-11-08,12.602924102036145,8.769739162241065,7.100912381796693,25.492804911348827
2014-11-09,12.612564619520263,8.734436431623935,7.0959375000000025,22.469664468383655
2014-11-10,12.611767370822601,8.778127495223186,7.102680709733791,19.208125557952688
2014-11-11,12.8089721279004,8.66122116634178,7.11322916666667,17.48725516390105
2014-11-12,13.521470530820727,8.598214285714285,7.1042275737131435,14.25463376411239
2014-11-13,12.769732720542493,8.753339671208158,7.128347953216376,12.909299999999998
2014-11-14,10.42011938463583,9.386905535619352,7.166430137844612,10.829213669189
2014-11-15,9.35928804051646,9.81432917531283,7.180481400259909,9.433644943019942
2014-11-16,10.020033625730994,9.684065467266366,7.184092937084089,11.855103850050659
2014-11-17,11.433699005229983,9.44297949420731,6.970343756011275,72.82927779057023
2014-11-18,9.712917202383421,9.805844112154986,7.060437959413672,24.412715378872708
2014-11-19,8.298846726190478,10.280796066456528,7.127893518518518,16.0325861727715
2014-11-20,8.674950657894737,10.231632205513785,7.135258850250624,17.95327719298246
2014-11-21,9.162961660617059,10.103681860902253,7.119460828796128,19.69300705560466
2014-11-22,9.440880132850245,10.060942028985503,7.13403079710145,20.618507273618825
2014-11-23,10.903972953216373,9.62565927297387,7.034893050839463,59.414596987690366
2014-11-24,12.53662516937669,8.967890669352723,6.938433543872052,40.83355272264169
2014-11-25,12.579905913978495,8.959275937689048,7.017231359649123,29.415043742821943
2014-11-26,11.905567145862552,9.135063675609002,7.049537234042557,29.61120640429973
2014-11-27,10.580093378607812,9.502986111111111,7.04715277777778,23.368597402193426
2014-11-28,9.136756216013383,9.937252256877889,7.074340277777779,23.687135507036825
2014-11-29,8.713654160822816,10.092374910804361,7.085970712560387,22.814090177133657
2014-11-30,9.75906884707288,9.802390547380996,7.073539094650207,17.523509381091614
2014-12-01,10.67275403861308,9.597608749197422,7.063516843971633,17.739437492044697
2014-12-02,11.524688394301357,9.29063684151231,7.070760730007337,23.619333881578946
2014-12-03,12.22616139231386,9.164786508351316,7.068986997597166,19.72910921498937
2014-12-04,12.91980637469529,8.934431627785484,7.060553939608573,20.677905586999692
2014-12-05,13.370164925585925,8.74475091365005,7.076657546587071,25.914472965006603
2014-12-06,13.6573737946373,8.604637579525736,7.032281836055659,36.02946006416751
2014-12-07,12.616151315789471,8.704733903741806,6.989080459770114,34.23088199436478
2014-12-08,11.12135755669249,9.234989964439762,7.060752720333591,36.49372097523219
2014-12-09,10.195948725403268,9.61741795120918,7.10720598448332,25.090240335843056
2014-12-10,9.453588937341115,9.896783968735322,7.137848608990393,19.026598144203295
2014-12-11,8.567964379203941,10.18821146846221,7.161245634658744,15.407686536781675
2014-12-12,8.296320513171585,10.361022212790042,7.176041666666664,15.610918242476512
2014-12-13,8.30326369823839,10.409492999680129,7.179095986281053,11.307340664105002
2014-12-14,8.425369623655914,10.374428763440863,7.192746521476104,10.24860058402697
2014-12-15,8.276847519824598,10.43195408885116,7.207261513157895,8.391828453039302
2014-12-16,10.099753478523894,9.949776785714288,7.178940497550697,12.35827834308214
2014-12-17,9.56145993834223,9.995692820012994,7.17565586419753,11.917101673521133
2014-12-18,9.195410920442328,10.196486761091458,7.20774097464869,11.353778414775656
2014-12-19,9.197037351443123,10.221975806451612,7.223778735632186,14.667126601904501
2014-12-20,9.895381944444447,9.983192301875379,7.223187373353596,21.096679145215624
2014-12-21,10.343645833333332,9.755432383040935,7.2019345238095225,23.11194194029966
2014-12-22,10.180044322521923,9.694311904112435,7.178263612990223,31.433774216457135
2014-12-23,9.842909946236558,9.752658045977013,7.1156167763157905,44.268504749906675
2014-12-24,11.100369623655913,9.63924247982392,6.952837643678162,80.77288063291897
2014-12-25,10.70553511232499,9.706142241379313,6.971589205397301,33.55060864058541
2014-12-26,9.635819892473117,9.96485027223231,6.984374999999999,25.552110859615965
2014-12-27,9.750571236559137,9.935668103448274,6.995941091954022,25.741922302022516
2014-12-28,11.66831317204301,9.625751963019251,6.846803160919538,60.75288901045021
2014-12-29,12.607743055555552,9.320833333333333,6.848288690476194,33.61971296995581
2014-12-30,12.337569444444448,9.281751543209875,6.873502506265664,26.243670090874037
2014-12-31,10.76902777777778,9.643266369047618,6.90625,22.107391321075376
2015-01-01,9.816630747126434,9.793684616634179,6.906712962962963,18.858122032792554
2015-01-02,10.401685571687846,9.703360215053763,6.906968810916179,29.796215017686222
2015-01-03,11.069787745754782,9.62663425354895,6.83180354267311,38.41324822377285
2015-01-04,12.93278688984642,9.221034153671217,6.790853638726443,63.327541598246235
2015-01-05,11.365874096036368,9.649855898082267,6.858688648430118,38.16171067895108
2015-01-06,9.68939747609731,10.052440393267236,6.952245112400372,25.87074921087895
2015-01-07,8.82475755189751,10.277230722635052,6.997610128327005,25.111037030817858
2015-01-08,5.953137868908718,11.312371884435628,7.046619741990708,23.697610562865496
2015-01-09,5.571505376344084,11.479016110295914,7.072937084089535,24.25049887630055
2015-01-10,5.832395833333333,11.4634243457643,7.057638627819547,20.579041335240404
2015-01-11,6.013146551724139,11.411746653269114,7.070907738095237,14.902612560656964
2015-01-12,7.551741763047046,10.93280117753623,7.053395061728395,12.534107582702228
